Race/Ethnicity,Group,Year,Sex,County,Polk,Site,Cancer,SE,Lower CI,Upper CI,Count,Rate~Ratio,Ratio~Lower CI,Ratio~Upper CI,p,Pop,Sig
Hispanic (All Races),Hispanic,2003-2007,Male and Female,Not Polk,Not Polk,Urinary System,15.5,3.5,9.4,23.8,24,0.3808,0.2304,0.5837,0.0000,"463,782",1
Non-Hispanic White,White,2003-2007,Male,Not Polk,Not Polk,Urinary System,66.1,1,64.1,68.1,"4,312",,,,,"5,829,578",
Non-Hispanic Black,Black,2003-2007,Male,Not Polk,Not Polk,Urinary System,49.3,10.4,31,73.3,29,0.7452,0.4684,1.1105,0.1606,"158,622",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2003-2007,Male,Not Polk,Not Polk,Urinary System,53.8,21.8,19.9,133.7,7,0.8146,0.3015,2.0239,0.8798,"19,986",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2003-2007,Male,Not Polk,Not Polk,Urinary System,19.8,9,6.3,46.7,6,0.2995,0.0947,0.7076,0.0025,"85,399",1
Hispanic (All Races),Hispanic,2003-2007,Male,Not Polk,Not Polk,Urinary System,21.8,6.1,11.5,36.9,17,0.3305,0.1739,0.5592,0.0000,"248,052",1
Non-Hispanic White,White,2003-2007,Female,Not Polk,Not Polk,Urinary System,21.5,0.5,20.4,22.5,"1,791",,,,,"6,039,043",
Non-Hispanic Black,Black,2003-2007,Female,Not Polk,Not Polk,Urinary System,24.4,5.9,14.2,38.6,18,1.1387,0.6618,1.8052,0.6610,"139,140",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2003-2007,Female,Not Polk,Not Polk,Urinary System,42.7,28.3,6.3,123.5,3,1.9916,0.2921,5.7631,0.4845,"21,143",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2003-2007,Female,Not Polk,Not Polk,Urinary System,7.6,4.1,1.8,23.3,4,0.3535,0.0853,1.086,0.0782,"86,766",0
Hispanic (All Races),Hispanic,2003-2007,Female,Not Polk,Not Polk,Urinary System,9.4,3.8,3.5,19.5,7,0.4397,0.1637,0.911,0.0234,"215,730",1
Non-Hispanic White,White,2008-2012,Male and Female,Not Polk,Not Polk,Urinary System,41.6,0.5,40.6,42.7,"6,500",,,,,"11,867,227",
Non-Hispanic Black,Black,2008-2012,Male and Female,Not Polk,Not Polk,Urinary System,47.4,5.7,36.9,59.8,82,1.1388,0.8842,1.4382,0.3140,"369,675",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2008-2012,Male and Female,Not Polk,Not Polk,Urinary System,75.1,21.9,38.6,128.5,17,1.8054,0.9259,3.0883,0.0812,"43,241",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2008-2012,Male and Female,Not Polk,Not Polk,Urinary System,20.8,6.4,10.2,36.3,15,0.4989,0.2443,0.8722,0.0119,"214,229",1
Hispanic (All Races),Hispanic,2008-2012,Male and Female,Not Polk,Not Polk,Urinary System,24.1,4,16.9,33,45,0.579,0.4054,0.7936,0.0004,"597,466",1
Non-Hispanic White,White,2008-2012,Male,Not Polk,Not Polk,Urinary System,67.0,1,65.1,69,"4,676",,,,,"5,854,720",
Non-Hispanic Black,Black,2008-2012,Male,Not Polk,Not Polk,Urinary System,68.0,11.2,47.9,92.9,53,1.0153,0.714,1.389,0.9711,"197,713",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2008-2012,Male,Not Polk,Not Polk,Urinary System,95.3,33.7,41.1,187,11,1.4224,0.6133,2.7946,0.4132,"21,165",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2008-2012,Male,Not Polk,Not Polk,Urinary System,32.8,15.1,10.2,71.4,7,0.4894,0.1523,1.067,0.0760,"106,882",0
Hispanic (All Races),Hispanic,2008-2012,Male,Not Polk,Not Polk,Urinary System,36.4,7.8,22.8,54.1,29,0.543,0.3394,0.8089,0.0017,"315,744",1
Non-Hispanic White,White,2008-2012,Female,Not Polk,Not Polk,Urinary System,21.4,0.5,20.4,22.5,"1,824",,,,,"6,012,507",
Non-Hispanic Black,Black,2008-2012,Female,Not Polk,Not Polk,Urinary System,32.0,6.3,20.9,46.5,29,1.4946,0.973,2.178,0.0660,"171,962",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2008-2012,Female,Not Polk,Not Polk,Urinary System,55.6,26.1,16.8,125.7,6,2.5921,0.782,5.8772,0.1133,"22,076",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2008-2012,Female,Not Polk,Not Polk,Urinary System,14.7,5.8,5.7,30.4,8,0.6871,0.2649,1.4212,0.3818,"107,347",0
Hispanic (All Races),Hispanic,2008-2012,Female,Not Polk,Not Polk,Urinary System,14.5,3.9,7.9,23.9,16,0.6751,0.3657,1.1197,0.1411,"281,722",0
Non-Hispanic White,White,2013-2017,Male and Female,Not Polk,Not Polk,Urinary System,43.3,0.5,42.3,44.4,"6,981",,,,,"11,826,215",
Non-Hispanic Black,Black,2013-2017,Male and Female,Not Polk,Not Polk,Urinary System,37.6,4.2,29.8,46.8,93,0.8683,0.6858,1.0821,0.2215,"454,551",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2013-2017,Male and Female,Not Polk,Not Polk,Urinary System,58.3,14.8,33.1,94.2,20,1.3462,0.7624,2.177,0.3030,"45,872",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2013-2017,Male and Female,Not Polk,Not Polk,Urinary System,16.7,3.9,10,25.9,24,0.3854,0.2301,0.5976,0.0000,"291,193",1
Hispanic (All Races),Hispanic,2013-2017,Male and Female,Not Polk,Not Polk,Urinary System,27.6,3.3,21.5,34.8,90,0.6377,0.4963,0.8037,0.0001,"720,568",1
Non-Hispanic White,White,2013-2017,Male,Not Polk,Not Polk,Urinary System,68.2,1,66.2,70.1,"5,016",,,,,"5,869,665",
Non-Hispanic Black,Black,2013-2017,Male,Not Polk,Not Polk,Urinary System,47.5,7.3,34.3,63.8,61,0.6968,0.5025,0.9381,0.0154,"244,333",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2013-2017,Male,Not Polk,Not Polk,Urinary System,79.2,22.9,40.9,139.3,14,1.162,0.5994,2.0459,0.6833,"22,541",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2013-2017,Male,Not Polk,Not Polk,Urinary System,27.0,8.8,12.6,48.6,14,0.3955,0.1846,0.7131,0.0009,"147,414",1
Hispanic (All Races),Hispanic,2013-2017,Male,Not Polk,Not Polk,Urinary System,42.5,6.1,31.3,56,65,0.6231,0.4585,0.8226,0.0005,"377,294",1
Non-Hispanic White,White,2013-2017,Female,Not Polk,Not Polk,Urinary System,22.8,0.5,21.7,23.9,"1,965",,,,,"5,956,550",
Non-Hispanic Black,Black,2013-2017,Female,Not Polk,Not Polk,Urinary System,28.6,5.3,19.2,40.7,32,1.2546,0.8385,1.7926,0.2685,"210,218",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2013-2017,Female,Not Polk,Not Polk,Urinary System,38.4,17.8,11.9,87.3,6,1.687,0.5207,3.8359,0.3800,"23,331",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2013-2017,Female,Not Polk,Not Polk,Urinary System,10.5,3.5,4.7,20,10,0.4597,0.2072,0.878,0.0142,"143,779",1
Hispanic (All Races),Hispanic,2013-2017,Female,Not Polk,Not Polk,Urinary System,14.1,3.2,8.5,21.8,25,0.6193,0.3713,0.9586,0.0297,"343,274",1
Non-Hispanic White,White,2018-2022,Male and Female,Not Polk,Not Polk,Urinary System,44.7,0.5,43.7,45.8,"7,529",,,,,"11,700,594",
Non-Hispanic Black,Black,2018-2022,Male and Female,Not Polk,Not Polk,Urinary System,37.3,3.8,30.2,45.5,110,0.8343,0.6744,1.0188,0.0772,"546,906",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2018-2022,Male and Female,Not Polk,Not Polk,Urinary System,59.4,12.6,37.4,89.2,25,1.3277,0.8352,1.9949,0.2277,"49,345",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2018-2022,Male and Female,Not Polk,Not Polk,Urinary System,8.7,2.1,5.1,13.8,19,0.1942,0.1135,0.3091,0.0000,"336,483",1
Hispanic (All Races),Hispanic,2018-2022,Male and Female,Not Polk,Not Polk,Urinary System,25.9,2.7,20.9,31.6,114,0.5788,0.4662,0.7086,0.0000,"843,681",1
Non-Hispanic White,White,2018-2022,Male,Not Polk,Not Polk,Urinary System,69.1,1,67.2,71,"5,411",,,,,"5,831,071",
Non-Hispanic Black,Black,2018-2022,Male,Not Polk,Not Polk,Urinary System,44.3,5.9,33.5,57.6,69,0.642,0.4837,0.8349,0.0005,"293,761",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2018-2022,Male,Not Polk,Not Polk,Urinary System,101.2,24,59.8,159.4,20,1.466,0.8657,2.3099,0.1514,"24,139",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2018-2022,Male,Not Polk,Not Polk,Urinary System,14.7,4.3,7.4,25.9,13,0.2125,0.1074,0.3753,0.0000,"170,572",1
Hispanic (All Races),Hispanic,2018-2022,Male,Not Polk,Not Polk,Urinary System,38.4,5,29.3,49.2,79,0.5567,0.424,0.7143,0.0000,"441,297",1
Non-Hispanic White,White,2018-2022,Female,Not Polk,Not Polk,Urinary System,24.3,0.6,23.2,25.4,"2,118",,,,,"5,869,523",
Non-Hispanic Black,Black,2018-2022,Female,Not Polk,Not Polk,Urinary System,29.3,4.8,20.7,40.1,41,1.2087,0.8516,1.6577,0.2882,"253,145",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2018-2022,Female,Not Polk,Not Polk,Urinary System,22.6,10.7,6.7,54.1,5,0.93,0.2757,2.2341,1.0000,"25,206",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2018-2022,Female,Not Polk,Not Polk,Urinary System,4.3,1.7,1.6,9.5,6,0.1759,0.0642,0.3943,0.0000,"165,911",1
Hispanic (All Races),Hispanic,2018-2022,Female,Not Polk,Not Polk,Urinary System,14.4,2.6,9.7,20.4,35,0.5919,0.3993,0.8422,0.0023,"402,384",1
Non-Hispanic White,White,2003-2007,Male and Female,IA: Polk County (19153),Polk County,Brain and other nervous System,7.3,0.7,6.1,8.7,125,,,,,"1,689,105",
Non-Hispanic Black,Black,2003-2007,Male and Female,IA: Polk County (19153),Polk County,Brain and other nervous System,6.0,2.7,1.9,13.9,6,0.8162,0.2611,1.9608,0.8490,"115,761",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2003-2007,Male and Female,IA: Polk County (19153),Polk County,Brain and other nervous System,13.1,13.1,0.3,142.4,1,1.791,0.045,19.8175,0.8594,"5,859",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2003-2007,Male and Female,IA: Polk County (19153),Polk County,Brain and other nervous System,5.5,3.2,1.1,19.7,3,0.7526,0.1486,2.7553,0.9962,"67,567",0
Hispanic (All Races),Hispanic,2003-2007,Male and Female,IA: Polk County (19153),Polk County,Brain and other nervous System,2.6,1.2,0.8,13.5,5,0.3605,0.1136,1.8814,0.4122,"120,193",0
Non-Hispanic White,White,2003-2007,Male,IA: Polk County (19153),Polk County,Brain and other nervous System,9.5,1.1,7.4,11.9,76,,,,,"817,157",
Non-Hispanic Black,Black,2003-2007,Male,IA: Polk County (19153),Polk County,Brain and other nervous System,4.5,2.6,0.9,18.4,3,0.4773,0.0928,2.0166,0.5455,"57,878",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2003-2007,Male,IA: Polk County (19153),Polk County,Brain and other nervous System,29.9,29.9,0.8,309.7,1,3.1626,0.079,33.6182,0.5477,"2,859",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2003-2007,Male,IA: Polk County (19153),Polk County,Brain and other nervous System,0.0,,0,33.3,0,0,0,3.5992,0.4543,"33,249",0
Hispanic (All Races),Hispanic,2003-2007,Male,IA: Polk County (19153),Polk County,Brain and other nervous System,2.9,1.7,0.6,37.3,3,0.3074,0.0609,4.033,0.6704,"64,203",0
Non-Hispanic White,White,2003-2007,Female,IA: Polk County (19153),Polk County,Brain and other nervous System,5.5,0.8,4.1,7.3,49,,,,,"871,948",
Non-Hispanic Black,Black,2003-2007,Female,IA: Polk County (19153),Polk County,Brain and other nervous System,7.1,4.3,1.3,20.9,3,1.2858,0.2281,4.0072,0.8687,"57,883",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2003-2007,Female,IA: Polk County (19153),Polk County,Brain and other nervous System,0.0,,0,325.2,0,0,0,60.8498,1.0000,"3,000",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2003-2007,Female,IA: Polk County (19153),Polk County,Brain and other nervous System,11.2,6.6,2.2,37,3,2.0344,0.3926,7.0916,0.3983,"34,318",0
Hispanic (All Races),Hispanic,2003-2007,Female,IA: Polk County (19153),Polk County,Brain and other nervous System,2.5,1.8,0.3,21.2,2,0.4576,0.0527,4.0144,0.9488,"55,990",0
Non-Hispanic White,White,2008-2012,Male and Female,IA: Polk County (19153),Polk County,Brain and other nervous System,8.9,0.7,7.6,10.4,162,,,,,"1,764,762",
Non-Hispanic Black,Black,2008-2012,Male and Female,IA: Polk County (19153),Polk County,Brain and other nervous System,4.0,2.1,1,10.6,4,0.4451,0.1079,1.2094,0.1402,"143,423",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2008-2012,Male and Female,IA: Polk County (19153),Polk County,Brain and other nervous System,0.0,,0,104.5,0,0,0,11.8597,1.0000,"5,807",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2008-2012,Male and Female,IA: Polk County (19153),Polk County,Brain and other nervous System,3.6,2.1,0.7,13.3,3,0.3996,0.0777,1.5146,0.2818,"83,752",0
Hispanic (All Races),Hispanic,2008-2012,Male and Female,IA: Polk County (19153),Polk County,Brain and other nervous System,3.2,1.4,1.1,11.1,6,0.3607,0.1175,1.268,0.1583,"164,122",0
Non-Hispanic White,White,2008-2012,Male,IA: Polk County (19153),Polk County,Brain and other nervous System,9.8,1.1,7.7,12.2,83,,,,,"858,098",
Non-Hispanic Black,Black,2008-2012,Male,IA: Polk County (19153),Polk County,Brain and other nervous System,3.9,3,0.4,17.6,2,0.4038,0.037,1.8518,0.3919,"72,531",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2008-2012,Male,IA: Polk County (19153),Polk County,Brain and other nervous System,0.0,,0,233.8,0,0,0,24.4322,1.0000,"2,758",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2008-2012,Male,IA: Polk County (19153),Polk County,Brain and other nervous System,1.9,1.9,0,27.9,1,0.1915,0.0048,2.9148,0.4752,"41,086",0
Hispanic (All Races),Hispanic,2008-2012,Male,IA: Polk County (19153),Polk County,Brain and other nervous System,6.1,2.7,2,25.3,6,0.6263,0.2036,2.6703,0.8510,"86,055",0
Non-Hispanic White,White,2008-2012,Female,IA: Polk County (19153),Polk County,Brain and other nervous System,8.0,0.9,6.3,10.1,79,,,,,"906,664",
Non-Hispanic Black,Black,2008-2012,Female,IA: Polk County (19153),Polk County,Brain and other nervous System,4.0,2.9,0.4,14.4,2,0.4927,0.0509,1.8484,0.4489,"70,892",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2008-2012,Female,IA: Polk County (19153),Polk County,Brain and other nervous System,0.0,,0,203.8,0,0,0,25.9163,1.0000,"3,049",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2008-2012,Female,IA: Polk County (19153),Polk County,Brain and other nervous System,4.8,3.4,0.6,21.8,2,0.6024,0.0705,2.7952,0.8764,"42,666",0
Hispanic (All Races),Hispanic,2008-2012,Female,IA: Polk County (19153),Polk County,Brain and other nervous System,0.0,,0,14.2,0,0,0,1.8024,0.1971,"78,067",0
Non-Hispanic White,White,2013-2017,Male and Female,IA: Polk County (19153),Polk County,Brain and other nervous System,7.8,0.6,6.5,9.1,150,,,,,"1,847,141",
Non-Hispanic Black,Black,2013-2017,Male and Female,IA: Polk County (19153),Polk County,Brain and other nervous System,0.8,0.6,0.1,4.9,2,0.1077,0.0125,0.6393,0.0035,"171,274",1
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2013-2017,Male and Female,IA: Polk County (19153),Polk County,Brain and other nervous System,0.0,,0,192.5,0,0,0,25.084,1.0000,"5,085",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2013-2017,Male and Female,IA: Polk County (19153),Polk County,Brain and other nervous System,8.1,3.6,2.7,19.1,7,1.0485,0.3404,2.5165,1.0000,"111,119",0
Hispanic (All Races),Hispanic,2013-2017,Male and Female,IA: Polk County (19153),Polk County,Brain and other nervous System,9.1,4.2,2.8,21,7,1.1736,0.3607,2.7698,0.8639,"198,954",0
Non-Hispanic White,White,2013-2017,Male,IA: Polk County (19153),Polk County,Brain and other nervous System,8.9,1,7.1,11.2,81,,,,,"902,988",
Non-Hispanic Black,Black,2013-2017,Male,IA: Polk County (19153),Polk County,Brain and other nervous System,0.0,,0,10.8,0,0,0,1.2261,0.0869,"87,048",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2013-2017,Male,IA: Polk County (19153),Polk County,Brain and other nervous System,0.0,,0,374.5,0,0,0,42.7224,1.0000,"2,289",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2013-2017,Male,IA: Polk County (19153),Polk County,Brain and other nervous System,10.6,4.4,3.8,29.6,6,1.1852,0.4165,3.4437,0.8155,"55,242",0
Hispanic (All Races),Hispanic,2013-2017,Male,IA: Polk County (19153),Polk County,Brain and other nervous System,13.3,7.3,3,35.9,5,1.4867,0.3291,4.1656,0.6440,"103,300",0
Non-Hispanic White,White,2013-2017,Female,IA: Polk County (19153),Polk County,Brain and other nervous System,6.6,0.8,5.1,8.5,69,,,,,"944,153",
Non-Hispanic Black,Black,2013-2017,Female,IA: Polk County (19153),Polk County,Brain and other nervous System,1.7,1.2,0.2,8.9,2,0.2555,0.0295,1.3946,0.1861,"84,226",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2013-2017,Female,IA: Polk County (19153),Polk County,Brain and other nervous System,0.0,,0,555.7,0,0,0,85.4104,1.0000,"2,796",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2013-2017,Female,IA: Polk County (19153),Polk County,Brain and other nervous System,5.6,5.6,0.1,24.9,1,0.8419,0.021,3.8706,1.0000,"55,877",0
Hispanic (All Races),Hispanic,2013-2017,Female,IA: Polk County (19153),Polk County,Brain and other nervous System,5.3,4.7,0.3,22.5,2,0.7951,0.0377,3.5097,0.9622,"95,654",0
Non-Hispanic White,White,2018-2022,Male and Female,IA: Polk County (19153),Polk County,Brain and other nervous System,6.8,0.6,5.7,8.1,147,,,,,"1,889,355",
Non-Hispanic Black,Black,2018-2022,Male and Female,IA: Polk County (19153),Polk County,Brain and other nervous System,4.9,2.3,1.5,11.8,7,0.7201,0.2117,1.7697,0.6077,"199,321",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2018-2022,Male and Female,IA: Polk County (19153),Polk County,Brain and other nervous System,0.0,,0,497.9,0,0,0,73.5571,1.0000,"4,957",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2018-2022,Male and Female,IA: Polk County (19153),Polk County,Brain and other nervous System,0.5,0.5,0,6,1,0.0722,0.0018,0.8921,0.0314,"132,262",1
Hispanic (All Races),Hispanic,2018-2022,Male and Female,IA: Polk County (19153),Polk County,Brain and other nervous System,2.7,1.1,1,7.7,7,0.3978,0.1484,1.153,0.1125,"240,639",0
Non-Hispanic White,White,2018-2022,Male,IA: Polk County (19153),Polk County,Brain and other nervous System,6.6,0.8,5.1,8.4,70,,,,,"927,905",
Non-Hispanic Black,Black,2018-2022,Male,IA: Polk County (19153),Polk County,Brain and other nervous System,11.1,6.1,2.5,30,6,1.6763,0.3669,4.7324,0.5238,"102,863",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2018-2022,Male,IA: Polk County (19153),Polk County,Brain and other nervous System,0.0,,0,612.5,0,0,0,94.7394,1.0000,"2,289",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2018-2022,Male,IA: Polk County (19153),Polk County,Brain and other nervous System,1.0,1,0,14.7,1,0.1486,0.0037,2.2902,0.3743,"66,340",0
Hispanic (All Races),Hispanic,2018-2022,Male,IA: Polk County (19153),Polk County,Brain and other nervous System,3.5,1.6,1.1,13.2,5,0.5318,0.1586,2.0765,0.6037,"124,784",0
Non-Hispanic White,White,2018-2022,Female,IA: Polk County (19153),Polk County,Brain and other nervous System,7.0,0.8,5.5,8.9,77,,,,,"961,450",
Non-Hispanic Black,Black,2018-2022,Female,IA: Polk County (19153),Polk County,Brain and other nervous System,0.7,0.7,0,7.4,1,0.104,0.0026,1.0862,0.0686,"96,458",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2018-2022,Female,IA: Polk County (19153),Polk County,Brain and other nervous System,0.0,,0,393.8,0,0,0,57.1438,1.0000,"2,668",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2018-2022,Female,IA: Polk County (19153),Polk County,Brain and other nervous System,0.0,,0,9.6,0,0,0,1.3925,0.1264,"65,922",0
Hispanic (All Races),Hispanic,2018-2022,Female,IA: Polk County (19153),Polk County,Brain and other nervous System,1.9,1.4,0.2,11.5,2,0.2673,0.026,1.6857,0.2739,"115,855",0
Non-Hispanic White,White,2003-2007,Male and Female,Not Polk,Not Polk,Brain and other nervous System,7.7,0.2,7.3,8.2,"1,030",,,,,"11,868,621",
Non-Hispanic Black,Black,2003-2007,Male and Female,Not Polk,Not Polk,Brain and other nervous System,6.8,2.1,3.3,12.3,13,0.8753,0.4207,1.5982,0.7841,"297,762",0
Non-Hispanic American Indian/Alaska Native,American Indian/Alaska Native,2003-2007,Male and Female,Not Polk,Not Polk,Brain and other nervous System,7.1,4.1,1.5,28.6,3,0.9192,0.1878,3.7024,1.0000,"41,129",0
Non-Hispanic Asian or Pacific Islander,Asian or Pacific Islander,2003-2007,Male and Female,Not Polk,Not Polk,Brain and other nervous System,1.4,0.8,0.3,8.2,3,0.1758,0.035,1.0601,0.0640,"172,165",0
Hispanic (All Races),Hispanic,2003-2007,Male and Female,Not Polk,Not Polk,Brain and other nervous System,5.0,1.8,2,9.9,14,0.6418,0.2613,1.2878,0.2552,"463,782",0
Non-Hispanic White,White,2003-2007,Male,Not Polk,Not Polk,Brain and other nervous System,9.1,0.4,8.4,9.9,570,,,,,"5,829,578",
Non-Hispanic Black,Black,2003-2007,Male,Not Polk,Not Polk,Brain and other nervous System,7.9,3.7,2.4,18.9,8,0.8708,0.264,2.0836,0.9136,"158,622",0
